Reference, Value, Footprint, Datasheet
"C1","1uf","Capacitors_SMD:C_0603_HandSoldering","~"
"C2","1uf","Capacitors_SMD:C_0603_HandSoldering","~"
"R1","120R","Resistors_SMD:R_0603_HandSoldering","~"
"R2","10k","Resistors_SMD:R_0603_HandSoldering","~"
"R3","10k","Resistors_SMD:R_0603_HandSoldering","~"
"R4","10k","Resistors_SMD:R_0603_HandSoldering","~"
"R5","10k","Resistors_SMD:R_0603_HandSoldering","~"
"R7","47k","Resistors_SMD:R_0603_HandSoldering","~"
"R8","47k","Resistors_SMD:R_0603_HandSoldering","~"
"R9","1k","Resistors_SMD:R_0603_HandSoldering","~"
"R10","1k2","Resistors_SMD:R_0603_HandSoldering","~"
"IC1","SN74F00","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"JP3","Conn_02x07_Odd_Even","Socket_Strips:Socket_Strip_Straight_2x07_Pitch2.54mm","~"
"JP5","Conn_02x13_Odd_Even","Socket_Strips:Socket_Strip_Straight_2x13_Pitch2.54mm","~"
"CN1","Conn_02x20_Odd_Even","Leaf:1939561-3","~"
"CN101","Conn_01x05","GT8E:GT8E-5P-DS","~"
"CN501","Conn_01x16","GT8E:GT8E-16DP-DS","~"
"CN601","Conn_01x08","GT8E:GT8E-8P-DS","~"
"CN151","Conn_01x12","GT8E:GT8E-12DP-DS","~"
"JP4","Conn_02x08_Odd_Even","Socket_Strips:Socket_Strip_Straight_2x08_Pitch2.54mm","~"
"H1","MountingHole_Pad","Mounting_Holes:MountingHole_5.3mm_M5_Pad_Via","~"
